Place,Type_of_Crime,Year
Vadapalani,Harassment / Cyber‑crime,2024
Teynampet,Rape / Sexual Assault,2022
Mambalam,Kidnapping / Abduction,2023
Chepauk,Harassment / Cyber‑crime,2022
T Nagar,Other Crime,2024
Anna Nagar,Rape / Sexual Assault,2025
Guindy,Rape / Sexual Assault,2024
Chepauk,Theft / Robbery,2024
Besant Nagar,Theft / Robbery,2024
Tambaram,Theft / Robbery,2020
Chromepet,Chain Snatching / Theft,2022
Guindy,Theft / Robbery,2023
Mylapore,Theft / Robbery,2022
Mylapore,Kidnapping / Abduction,2021
T Nagar,Assault / Attack,2024
Alandur,Kidnapping / Abduction,2022
Adyar,Rape / Sexual Assault,2022
Kodambakkam,Assault / Attack,2023
Teynampet,Murder,2021
Ashok Nagar,Rape / Sexual Assault,2026
Mambalam,Chain Snatching / Theft,2025
Medavakkam,Rape / Sexual Assault,2025
Teynampet,Assault / Attack,2021
Mambalam,Assault / Attack,2025
Guindy,Theft / Robbery,2025
Anna Nagar,Chain Snatching / Theft,2025
Egmore,Murder,2021
T Nagar,Harassment / Cyber‑crime,2024
Saidapet,Other Crime,2025
Chetpet,Assault / Attack,2024
Chetpet,Chain Snatching / Theft,2024
Urapakkam,Rape / Sexual Assault,2023
Chepauk,Assault / Attack,2024
Adyar,Theft / Robbery,2020
Mylapore,Harassment / Cyber‑crime,2024
Anna Nagar,Other Crime,2020
Guindy,Theft / Robbery,2023
Royapettah,Harassment / Cyber‑crime,2022
Alandur,Theft / Robbery,2024
Mylapore,Assault / Attack,2021
T Nagar,Assault / Attack,2024
Mylapore,Other Crime,2025
Adyar,Harassment / Cyber‑crime,2021
Perambur,Theft / Robbery,2021
Purasawalkam,Rape / Sexual Assault,2021
Mylapore,Theft / Robbery,2025
T Nagar,Theft / Robbery,2024
Adyar,Theft / Robbery,2023
Ashok Nagar,Chain Snatching / Theft,2021
Chetpet,Assault / Attack,2024
Purasawalkam,Assault / Attack,2025
Teynampet,Rape / Sexual Assault,2025
Alandur,Chain Snatching / Theft,2024
Mambalam,Harassment / Cyber‑crime,2020
Perambur,Rape / Sexual Assault,2021
Perambur,Harassment / Cyber‑crime,2020
Ashok Nagar,Assault / Attack,2022
Kodambakkam,Rape / Sexual Assault,2021
Medavakkam,Assault / Attack,2022
Koyambedu,Assault / Attack,2023
Tambaram,Theft / Robbery,2026
Teynampet,Chain Snatching / Theft,2024
Chromepet,Chain Snatching / Theft,2025
Sholinganallur,Harassment / Cyber‑crime,2025
Porur,Assault / Attack,2021
Nungambakkam,Assault / Attack,2025
Urapakkam,Harassment / Cyber‑crime,2022
Adyar,Assault / Attack,2024
Chetpet,Rape / Sexual Assault,2022
Teynampet,Assault / Attack,2026
Koyambedu,Chain Snatching / Theft,2022
Perambur,Assault / Attack,2022
Besant Nagar,Rape / Sexual Assault,2026
Porur,Kidnapping / Abduction,2020
Nungambakkam,Theft / Robbery,2024
Koyambedu,Theft / Robbery,2025
Teynampet,Theft / Robbery,2025
Alandur,Theft / Robbery,2026
Tambaram,Kidnapping / Abduction,2026
Royapettah,Assault / Attack,2020
Medavakkam,Theft / Robbery,2025
Egmore,Chain Snatching / Theft,2024
Kodambakkam,Chain Snatching / Theft,2024
Koyambedu,Chain Snatching / Theft,2021
Urapakkam,Theft / Robbery,2024
Vadapalani,Assault / Attack,2026
Thiruvanmiyur,Other Crime,2026
Velachery,Kidnapping / Abduction,2023
Medavakkam,Murder,2020
Medavakkam,Rape / Sexual Assault,2023
Anna Nagar,Assault / Attack,2025
Anna Nagar,Chain Snatching / Theft,2025
Sholinganallur,Assault / Attack,2023
Urapakkam,Assault / Attack,2020
Urapakkam,Rape / Sexual Assault,2023
Besant Nagar,Harassment / Cyber‑crime,2023
Ashok Nagar,Chain Snatching / Theft,2026
Chetpet,Theft / Robbery,2024
Medavakkam,Kidnapping / Abduction,2022
Vadapalani,Other Crime,2024
Teynampet,Theft / Robbery,2020
Urapakkam,Assault / Attack,2026
T Nagar,Theft / Robbery,2023
T Nagar,Kidnapping / Abduction,2023
Vadapalani,Assault / Attack,2023
Alandur,Harassment / Cyber‑crime,2024
Urapakkam,Kidnapping / Abduction,2024
Vadapalani,Theft / Robbery,2025
Sholinganallur,Chain Snatching / Theft,2022
Koyambedu,Assault / Attack,2022
Mambalam,Theft / Robbery,2021
Mylapore,Harassment / Cyber‑crime,2024
Teynampet,Kidnapping / Abduction,2020
Velachery,Theft / Robbery,2024
Guindy,Chain Snatching / Theft,2025
Alandur,Chain Snatching / Theft,2025
Mambalam,Theft / Robbery,2023
Urapakkam,Other Crime,2023
Adyar,Rape / Sexual Assault,2020
T Nagar,Theft / Robbery,2024
Tambaram,Theft / Robbery,2025
Kodambakkam,Chain Snatching / Theft,2022
Anna Nagar,Harassment / Cyber‑crime,2023
Chepauk,Theft / Robbery,2025
Perambur,Assault / Attack,2025
Alandur,Harassment / Cyber‑crime,2022
Royapettah,Rape / Sexual Assault,2024
Chepauk,Chain Snatching / Theft,2021
Mambalam,Chain Snatching / Theft,2021
Sholinganallur,Assault / Attack,2026
Chromepet,Other Crime,2025
Urapakkam,Assault / Attack,2025
Chromepet,Other Crime,2020
Ashok Nagar,Harassment / Cyber‑crime,2025
Sholinganallur,Harassment / Cyber‑crime,2023
Anna Nagar,Theft / Robbery,2022
Urapakkam,Chain Snatching / Theft,2024
Teynampet,Assault / Attack,2020
Egmore,Theft / Robbery,2025
Mylapore,Murder,2024
Chromepet,Assault / Attack,2021
Adyar,Assault / Attack,2021
Chromepet,Harassment / Cyber‑crime,2021
Chepauk,Chain Snatching / Theft,2020
Chromepet,Rape / Sexual Assault,2024
Alandur,Harassment / Cyber‑crime,2025
Chromepet,Theft / Robbery,2020
Egmore,Chain Snatching / Theft,2020
Egmore,Chain Snatching / Theft,2024
Medavakkam,Assault / Attack,2025
Royapettah,Harassment / Cyber‑crime,2022
Chetpet,Theft / Robbery,2022
Adyar,Assault / Attack,2024
T Nagar,Chain Snatching / Theft,2022
T Nagar,Assault / Attack,2020
Tambaram,Theft / Robbery,2025
Urapakkam,Assault / Attack,2024
Egmore,Chain Snatching / Theft,2024
Thiruvanmiyur,Theft / Robbery,2025
Anna Nagar,Theft / Robbery,2024
Ashok Nagar,Harassment / Cyber‑crime,2022
Velachery,Chain Snatching / Theft,2023
Chetpet,Rape / Sexual Assault,2021
Nungambakkam,Theft / Robbery,2021
Chetpet,Rape / Sexual Assault,2024
Besant Nagar,Theft / Robbery,2025
Chepauk,Assault / Attack,2026
Alandur,Harassment / Cyber‑crime,2024
Chromepet,Harassment / Cyber‑crime,2021
Velachery,Harassment / Cyber‑crime,2021
Chepauk,Theft / Robbery,2025
Adyar,Chain Snatching / Theft,2024
Sholinganallur,Assault / Attack,2024
Egmore,Other Crime,2025
Velachery,Harassment / Cyber‑crime,2025
Royapettah,Rape / Sexual Assault,2025
Besant Nagar,Harassment / Cyber‑crime,2020
Saidapet,Theft / Robbery,2025
Saidapet,Harassment / Cyber‑crime,2025
T Nagar,Rape / Sexual Assault,2022
Mambalam,Theft / Robbery,2024
Medavakkam,Chain Snatching / Theft,2022
Alandur,Theft / Robbery,2026
Velachery,Chain Snatching / Theft,2020
Saidapet,Theft / Robbery,2024
Porur,Harassment / Cyber‑crime,2021
Mylapore,Harassment / Cyber‑crime,2025
Sholinganallur,Assault / Attack,2021
Medavakkam,Theft / Robbery,2022
Alandur,Theft / Robbery,2023
Nungambakkam,Murder,2026
Tambaram,Theft / Robbery,2022
Ashok Nagar,Harassment / Cyber‑crime,2021
Mylapore,Chain Snatching / Theft,2025
Tambaram,Chain Snatching / Theft,2024
Sholinganallur,Kidnapping / Abduction,2026
Teynampet,Kidnapping / Abduction,2021
Sholinganallur,Harassment / Cyber‑crime,2024
Mambalam,Theft / Robbery,2022
T Nagar,Chain Snatching / Theft,2021
Guindy,Harassment / Cyber‑crime,2024
Teynampet,Assault / Attack,2024
Pallavaram,Rape / Sexual Assault,2025
Guindy,Assault / Attack,2022
T Nagar,Assault / Attack,2023
Besant Nagar,Chain Snatching / Theft,2023
Medavakkam,Assault / Attack,2026
Vadapalani,Theft / Robbery,2022
Vadapalani,Other Crime,2022
Pallavaram,Rape / Sexual Assault,2023
Chetpet,Assault / Attack,2024
Urapakkam,Murder,2022
Kodambakkam,Harassment / Cyber‑crime,2026
Mylapore,Chain Snatching / Theft,2022
Teynampet,Theft / Robbery,2025
Medavakkam,Chain Snatching / Theft,2021
Saidapet,Theft / Robbery,2024
Ashok Nagar,Chain Snatching / Theft,2026
Saidapet,Kidnapping / Abduction,2021
Vadapalani,Chain Snatching / Theft,2026
Sholinganallur,Murder,2023
Medavakkam,Other Crime,2026
Chromepet,Harassment / Cyber‑crime,2024
Egmore,Theft / Robbery,2022
T Nagar,Chain Snatching / Theft,2021
Saidapet,Theft / Robbery,2022
Urapakkam,Chain Snatching / Theft,2020
Anna Nagar,Rape / Sexual Assault,2021
Adyar,Harassment / Cyber‑crime,2021
Adyar,Assault / Attack,2023
Alandur,Rape / Sexual Assault,2025
Chetpet,Theft / Robbery,2021
Mambalam,Murder,2021
Mambalam,Assault / Attack,2024
Mylapore,Theft / Robbery,2021
Tambaram,Assault / Attack,2020
Saidapet,Theft / Robbery,2021
Saidapet,Theft / Robbery,2026
Mylapore,Harassment / Cyber‑crime,2025
Sholinganallur,Murder,2023
Chepauk,Chain Snatching / Theft,2024
Royapettah,Chain Snatching / Theft,2024
Chepauk,Harassment / Cyber‑crime,2024
T Nagar,Assault / Attack,2024
Chepauk,Chain Snatching / Theft,2024
Sholinganallur,Theft / Robbery,2022
Besant Nagar,Rape / Sexual Assault,2020
Chromepet,Theft / Robbery,2023
Guindy,Kidnapping / Abduction,2025
Nungambakkam,Murder,2024
Velachery,Assault / Attack,2025
Guindy,Other Crime,2026
Sholinganallur,Chain Snatching / Theft,2021
Urapakkam,Assault / Attack,2024
Mylapore,Rape / Sexual Assault,2024
Saidapet,Chain Snatching / Theft,2026
Urapakkam,Assault / Attack,2026
Vadapalani,Rape / Sexual Assault,2024
Mylapore,Rape / Sexual Assault,2022
Vadapalani,Chain Snatching / Theft,2025
Porur,Harassment / Cyber‑crime,2021
Pallavaram,Chain Snatching / Theft,2025
Purasawalkam,Chain Snatching / Theft,2026
Pallavaram,Assault / Attack,2023
Egmore,Assault / Attack,2024
Royapettah,Assault / Attack,2023
Mylapore,Theft / Robbery,2023
Saidapet,Assault / Attack,2022
Porur,Kidnapping / Abduction,2025
Mambalam,Harassment / Cyber‑crime,2026
Nungambakkam,Chain Snatching / Theft,2026
T Nagar,Assault / Attack,2021
Nungambakkam,Harassment / Cyber‑crime,2025
T Nagar,Harassment / Cyber‑crime,2025
Purasawalkam,Assault / Attack,2022
Thiruvanmiyur,Harassment / Cyber‑crime,2020
Saidapet,Theft / Robbery,2022
Sholinganallur,Assault / Attack,2026
Chepauk,Rape / Sexual Assault,2024
Guindy,Theft / Robbery,2025
Teynampet,Assault / Attack,2022
Mylapore,Harassment / Cyber‑crime,2025
Chromepet,Other Crime,2020
T Nagar,Harassment / Cyber‑crime,2023
Saidapet,Harassment / Cyber‑crime,2024
Anna Nagar,Assault / Attack,2021
Alandur,Harassment / Cyber‑crime,2025
Tambaram,Rape / Sexual Assault,2022
Royapettah,Theft / Robbery,2024
Chetpet,Theft / Robbery,2023
Royapettah,Assault / Attack,2024
Purasawalkam,Murder,2021
Urapakkam,Rape / Sexual Assault,2020
Velachery,Theft / Robbery,2026
Velachery,Other Crime,2022
Koyambedu,Theft / Robbery,2025
Tambaram,Assault / Attack,2026
Royapettah,Theft / Robbery,2022
Guindy,Harassment / Cyber‑crime,2022
Alandur,Theft / Robbery,2024
Alandur,Theft / Robbery,2026
Egmore,Assault / Attack,2026
Thiruvanmiyur,Murder,2024
Urapakkam,Murder,2025
T Nagar,Theft / Robbery,2021
Medavakkam,Murder,2026
Perambur,Rape / Sexual Assault,2026
T Nagar,Theft / Robbery,2021
Adyar,Chain Snatching / Theft,2022
Medavakkam,Assault / Attack,2021
Porur,Assault / Attack,2022
Saidapet,Theft / Robbery,2025
Tambaram,Chain Snatching / Theft,2023
Nungambakkam,Theft / Robbery,2020
Mylapore,Rape / Sexual Assault,2022
Chromepet,Harassment / Cyber‑crime,2026
Chromepet,Rape / Sexual Assault,2024
Anna Nagar,Theft / Robbery,2023
Medavakkam,Assault / Attack,2021
Urapakkam,Chain Snatching / Theft,2026
Porur,Assault / Attack,2025
Purasawalkam,Harassment / Cyber‑crime,2022
Thiruvanmiyur,Other Crime,2020
Velachery,Rape / Sexual Assault,2020
Mylapore,Theft / Robbery,2021
Medavakkam,Theft / Robbery,2024
Mambalam,Assault / Attack,2026
Adyar,Assault / Attack,2023
Chepauk,Chain Snatching / Theft,2025
Porur,Harassment / Cyber‑crime,2023
Chromepet,Harassment / Cyber‑crime,2025
Purasawalkam,Theft / Robbery,2025
Thiruvanmiyur,Chain Snatching / Theft,2021
Mylapore,Other Crime,2023
Medavakkam,Chain Snatching / Theft,2024
T Nagar,Murder,2020
Sholinganallur,Harassment / Cyber‑crime,2023
Porur,Rape / Sexual Assault,2024
Thiruvanmiyur,Theft / Robbery,2026
Chetpet,Rape / Sexual Assault,2023
T Nagar,Harassment / Cyber‑crime,2025
Mylapore,Harassment / Cyber‑crime,2023
Pallavaram,Rape / Sexual Assault,2025
Vadapalani,Theft / Robbery,2024
Kodambakkam,Assault / Attack,2025
Royapettah,Theft / Robbery,2023
Ashok Nagar,Rape / Sexual Assault,2024
Mylapore,Assault / Attack,2024
Guindy,Kidnapping / Abduction,2023
Purasawalkam,Rape / Sexual Assault,2021
Chepauk,Rape / Sexual Assault,2020
Pallavaram,Theft / Robbery,2020
Perambur,Chain Snatching / Theft,2025
Royapettah,Harassment / Cyber‑crime,2022
Chetpet,Harassment / Cyber‑crime,2022
Egmore,Theft / Robbery,2025
Alandur,Assault / Attack,2022
Kodambakkam,Murder,2024
Egmore,Harassment / Cyber‑crime,2021
Ashok Nagar,Chain Snatching / Theft,2026
Chromepet,Harassment / Cyber‑crime,2025
Guindy,Chain Snatching / Theft,2025
T Nagar,Harassment / Cyber‑crime,2023
Mambalam,Rape / Sexual Assault,2025
Besant Nagar,Chain Snatching / Theft,2021
Royapettah,Rape / Sexual Assault,2020
Saidapet,Assault / Attack,2020
Teynampet,Rape / Sexual Assault,2024
Porur,Murder,2023
Kodambakkam,Assault / Attack,2024
Chetpet,Theft / Robbery,2020
Ashok Nagar,Assault / Attack,2023
Mylapore,Assault / Attack,2025
Pallavaram,Murder,2023
Vadapalani,Rape / Sexual Assault,2025
Chepauk,Assault / Attack,2022
Koyambedu,Theft / Robbery,2025
Medavakkam,Harassment / Cyber‑crime,2024
Ashok Nagar,Harassment / Cyber‑crime,2022
Teynampet,Chain Snatching / Theft,2022
Vadapalani,Harassment / Cyber‑crime,2024
Nungambakkam,Assault / Attack,2025
Koyambedu,Harassment / Cyber‑crime,2023
Sholinganallur,Theft / Robbery,2022
T Nagar,Theft / Robbery,2025
Guindy,Kidnapping / Abduction,2024
Purasawalkam,Assault / Attack,2023
Saidapet,Kidnapping / Abduction,2023
Purasawalkam,Chain Snatching / Theft,2022
Anna Nagar,Chain Snatching / Theft,2024
Tambaram,Chain Snatching / Theft,2023
Chetpet,Assault / Attack,2026
Perambur,Theft / Robbery,2023
Medavakkam,Assault / Attack,2023
Egmore,Theft / Robbery,2024
Egmore,Harassment / Cyber‑crime,2026
Chetpet,Harassment / Cyber‑crime,2025
Royapettah,Harassment / Cyber‑crime,2023
Tambaram,Theft / Robbery,2025
Vadapalani,Theft / Robbery,2024
Ashok Nagar,Assault / Attack,2023
Urapakkam,Rape / Sexual Assault,2021
Porur,Chain Snatching / Theft,2023
Royapettah,Theft / Robbery,2022
Ashok Nagar,Theft / Robbery,2026
Ashok Nagar,Murder,2022
Royapettah,Harassment / Cyber‑crime,2026
Chromepet,Harassment / Cyber‑crime,2024
Sholinganallur,Theft / Robbery,2024
Kodambakkam,Rape / Sexual Assault,2024
Velachery,Assault / Attack,2021
Perambur,Theft / Robbery,2023
Royapettah,Harassment / Cyber‑crime,2020
Besant Nagar,Harassment / Cyber‑crime,2024
Medavakkam,Theft / Robbery,2023
Adyar,Theft / Robbery,2025
T Nagar,Other Crime,2022
Guindy,Assault / Attack,2021
Thiruvanmiyur,Harassment / Cyber‑crime,2023
Medavakkam,Rape / Sexual Assault,2026
Anna Nagar,Assault / Attack,2025
Anna Nagar,Murder,2023
Adyar,Assault / Attack,2024
Teynampet,Other Crime,2020
Nungambakkam,Theft / Robbery,2026
Velachery,Murder,2024
Koyambedu,Murder,2022
Sholinganallur,Theft / Robbery,2024
Urapakkam,Theft / Robbery,2021
Perambur,Murder,2026
Mylapore,Kidnapping / Abduction,2021
Chetpet,Assault / Attack,2024
Guindy,Theft / Robbery,2022
Sholinganallur,Chain Snatching / Theft,2025
Saidapet,Rape / Sexual Assault,2025
Koyambedu,Other Crime,2024
Pallavaram,Theft / Robbery,2024
Medavakkam,Chain Snatching / Theft,2025
Kodambakkam,Harassment / Cyber‑crime,2020
Urapakkam,Chain Snatching / Theft,2022
Tambaram,Other Crime,2022
Chromepet,Theft / Robbery,2026
Chepauk,Other Crime,2023
Tambaram,Theft / Robbery,2025
Medavakkam,Theft / Robbery,2024
Ashok Nagar,Theft / Robbery,2022
Chetpet,Assault / Attack,2022
Ashok Nagar,Theft / Robbery,2022
Adyar,Assault / Attack,2023
Ashok Nagar,Assault / Attack,2022
Thiruvanmiyur,Kidnapping / Abduction,2020
Urapakkam,Chain Snatching / Theft,2025
Chetpet,Assault / Attack,2026
Mambalam,Theft / Robbery,2022
Anna Nagar,Theft / Robbery,2022
Thiruvanmiyur,Theft / Robbery,2020
T Nagar,Rape / Sexual Assault,2024
Ashok Nagar,Theft / Robbery,2025
Ashok Nagar,Theft / Robbery,2021
T Nagar,Other Crime,2021
Perambur,Assault / Attack,2025
Egmore,Theft / Robbery,2024
Urapakkam,Assault / Attack,2020
Royapettah,Rape / Sexual Assault,2024
Saidapet,Assault / Attack,2022
Vadapalani,Harassment / Cyber‑crime,2023
Guindy,Assault / Attack,2025
Koyambedu,Assault / Attack,2025
Thiruvanmiyur,Other Crime,2023
T Nagar,Chain Snatching / Theft,2026
Saidapet,Harassment / Cyber‑crime,2023
Porur,Assault / Attack,2025
Teynampet,Harassment / Cyber‑crime,2023
Adyar,Theft / Robbery,2025
Royapettah,Theft / Robbery,2026
Porur,Murder,2020
Chetpet,Assault / Attack,2026
Mylapore,Assault / Attack,2025
Anna Nagar,Theft / Robbery,2025
Ashok Nagar,Other Crime,2022
Saidapet,Chain Snatching / Theft,2025
Tambaram,Harassment / Cyber‑crime,2025
Adyar,Assault / Attack,2022
Royapettah,Chain Snatching / Theft,2026
Vadapalani,Rape / Sexual Assault,2020
Porur,Kidnapping / Abduction,2021
Purasawalkam,Rape / Sexual Assault,2024
Medavakkam,Kidnapping / Abduction,2024
Adyar,Theft / Robbery,2024
Perambur,Chain Snatching / Theft,2020
Chromepet,Chain Snatching / Theft,2026
Urapakkam,Rape / Sexual Assault,2020
Purasawalkam,Assault / Attack,2021
Urapakkam,Other Crime,2020
Sholinganallur,Assault / Attack,2024
Adyar,Chain Snatching / Theft,2026
Anna Nagar,Assault / Attack,2024
Saidapet,Theft / Robbery,2025
Ashok Nagar,Theft / Robbery,2020
Ashok Nagar,Theft / Robbery,2024
Saidapet,Kidnapping / Abduction,2023
Thiruvanmiyur,Theft / Robbery,2023
Teynampet,Assault / Attack,2020
Nungambakkam,Assault / Attack,2024
T Nagar,Assault / Attack,2024
Urapakkam,Chain Snatching / Theft,2025
Urapakkam,Other Crime,2023
Adyar,Assault / Attack,2021
Chetpet,Chain Snatching / Theft,2024
Ashok Nagar,Kidnapping / Abduction,2021
Kodambakkam,Assault / Attack,2025
Royapettah,Other Crime,2024
Adyar,Theft / Robbery,2021
Nungambakkam,Rape / Sexual Assault,2026
Egmore,Chain Snatching / Theft,2024
Sholinganallur,Assault / Attack,2020
Kodambakkam,Chain Snatching / Theft,2024
Ashok Nagar,Chain Snatching / Theft,2022
Tambaram,Rape / Sexual Assault,2025
Ashok Nagar,Chain Snatching / Theft,2025
T Nagar,Assault / Attack,2026
Chepauk,Assault / Attack,2024
Adyar,Harassment / Cyber‑crime,2023
Koyambedu,Chain Snatching / Theft,2025
Nungambakkam,Murder,2021
Saidapet,Assault / Attack,2024
Chepauk,Harassment / Cyber‑crime,2024
Saidapet,Harassment / Cyber‑crime,2020
Chetpet,Harassment / Cyber‑crime,2023
Egmore,Rape / Sexual Assault,2025
Chromepet,Theft / Robbery,2025
Medavakkam,Theft / Robbery,2020
Alandur,Chain Snatching / Theft,2020
Sholinganallur,Theft / Robbery,2022
Chepauk,Theft / Robbery,2025
Anna Nagar,Other Crime,2021
Pallavaram,Murder,2025
Mylapore,Other Crime,2021
Medavakkam,Harassment / Cyber‑crime,2024
T Nagar,Chain Snatching / Theft,2023
T Nagar,Theft / Robbery,2025
Porur,Murder,2022
Tambaram,Harassment / Cyber‑crime,2024
Besant Nagar,Chain Snatching / Theft,2022
Adyar,Harassment / Cyber‑crime,2025
Anna Nagar,Rape / Sexual Assault,2025
Mylapore,Kidnapping / Abduction,2021
T Nagar,Kidnapping / Abduction,2025
T Nagar,Harassment / Cyber‑crime,2024
Guindy,Kidnapping / Abduction,2021
Kodambakkam,Chain Snatching / Theft,2023
Besant Nagar,Harassment / Cyber‑crime,2021
Anna Nagar,Rape / Sexual Assault,2025
Porur,Assault / Attack,2025
Koyambedu,Rape / Sexual Assault,2021
Anna Nagar,Assault / Attack,2024
Purasawalkam,Assault / Attack,2025
Egmore,Rape / Sexual Assault,2026
Porur,Theft / Robbery,2024
Tambaram,Rape / Sexual Assault,2026
Pallavaram,Chain Snatching / Theft,2024
Mylapore,Chain Snatching / Theft,2023
Chetpet,Rape / Sexual Assault,2025
Chromepet,Other Crime,2023
Ashok Nagar,Assault / Attack,2023
Guindy,Theft / Robbery,2023
Porur,Rape / Sexual Assault,2025
Ashok Nagar,Assault / Attack,2025
Kodambakkam,Kidnapping / Abduction,2023
Ashok Nagar,Harassment / Cyber‑crime,2022
Urapakkam,Rape / Sexual Assault,2023
Egmore,Rape / Sexual Assault,2024
Tambaram,Assault / Attack,2022
Mambalam,Theft / Robbery,2025
Teynampet,Theft / Robbery,2023
Nungambakkam,Theft / Robbery,2022
Ashok Nagar,Chain Snatching / Theft,2021
Thiruvanmiyur,Chain Snatching / Theft,2022
Pallavaram,Assault / Attack,2026
